Words,X,Y,Group,Value,Model
hypothesis,8.473067,3.4569428,230,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
urgently,8.465442,3.4243846,231,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
represents,5.8793736,-9.1515255,231,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
infiltrating,-4.996967,-4.261041,231,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
oral,4.0231247,2.7836,231,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
hospitals,7.024432,2.056439,231,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
diagnose,5.2833858,6.4911017,232,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
technique,2.6071568,8.353825,232,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
nature,4.0730767,-1.8333051,232,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
times,4.602945,-6.882329,232,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
elagolix,-1.5973895,-3.76922,232,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
light,7.5884123,-1.8239985,233,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
continue,6.6930776,-1.7964942,233,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
characterize,7.410299,-4.5675035,233,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
authorization,10.638831,-3.9605017,233,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
loads,4.3031454,-0.3625766,233,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
er,0.84043413,-1.214577,234,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
69,3.9397483,-3.224026,234,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
57,5.7630224,-5.0321517,234,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
food,8.4384365,-0.13808855,234,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reserve,-1.3968335,-7.4114056,234,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
estrogen-dependent,-5.2647686,4.4698267,235,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
mutation,7.2826395,0.99179333,235,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
primarily,3.0356615,0.6525063,235,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
boy,-1.669899,-1.7134516,235,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
negatively,0.7903243,7.1698947,235,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
heterogeneity,7.048954,-7.6445284,236,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
campaigns,5.332437,4.180653,236,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
avoid,2.56806,-2.4347887,236,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
coupled,8.78247,-4.6709914,236,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pattern,4.8592267,1.5786488,236,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pool,4.763976,-3.4928648,237,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
demand,8.039905,0.29895252,237,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
gynecologic,0.20531778,3.4698992,237,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
interaction,-3.413933,-0.2546204,237,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
part,8.447649,-3.419956,237,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
immunoassay,3.7577133,0.22686498,238,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
immunogenicity,9.965073,-0.72230506,238,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
cohorts,5.094778,0.5566852,238,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
altered,-2.251577,5.197004,238,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
numbers,8.985812,5.2671423,238,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
benefits,10.842326,0.32186064,239,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
controlling,8.535197,2.9626367,239,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
variability,6.873186,4.8618755,239,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
variety,8.686415,-2.742487,239,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
94,10.873914,-3.828127,239,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ca125,-6.4674726,6.2895737,240,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
evolution,7.6204133,0.16056998,240,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
thought,0.14521551,3.209445,240,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pfizer-biontech,10.823841,-3.7516873,240,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
country,9.487753,-2.7678885,240,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
nursing,6.4712195,-9.07298,241,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
fluorescent,5.1256146,1.0052971,241,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
des,-7.79014,-4.0779443,241,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
propose,4.925677,8.956297,241,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
application,7.33292,-3.1399174,241,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
elderly,8.332119,-1.3047041,242,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
cyst,-1.2879622,2.3292987,242,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
severely,-4.2601814,0.30234662,242,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
text,2.089773,10.646345,242,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
shows,2.9182117,-4.455415,242,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
home,11.843471,-5.9575953,243,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
endometriomas,-3.8488536,7.2772417,243,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
occur,4.2155333,-9.089394,243,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
indicates,-8.383163,-2.2228513,243,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
almost,5.139102,-8.26117,243,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
extent,4.9641533,-3.8037696,244,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
delayed,11.213923,-4.1367745,244,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
multidisciplinary,-6.641527,3.772348,244,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
oe,-3.5457911,4.194873,244,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
attention,5.8236628,5.2249255,244,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
strain,8.924607,-1.9301687,245,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
frequency,5.1356134,4.506572,245,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
strongly,8.683126,3.0823743,245,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
named,4.723728,-10.250732,245,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
65,5.632434,-3.6154723,245,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
complete,4.580794,-0.24420705,246,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
27,4.183143,-9.128592,246,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
hand,4.637681,-3.3594952,246,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
93,5.038497,-5.0706086,246,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
cysts,-3.298554,-9.496885,246,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
concerns,11.89969,0.40927947,247,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
escs,-2.032477,2.109374,247,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
syndromes,12.09281,0.38533828,247,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
material,6.2091565,7.7840686,247,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
alone,8.093422,6.507632,247,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
p4,-0.62938,-2.763316,248,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
peripheral,-4.2907352,4.2911396,248,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
lockdown,6.963085,6.1496964,248,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
les,1.1545751,-4.8185644,248,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
nasal,3.9653006,2.8469782,248,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
regulation,6.1943507,2.379524,249,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
kidney,0.34388778,0.99197745,249,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
regression,8.912033,-5.5200434,249,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
full,1.8417964,-8.778346,249,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
undergoing,4.58591,-1.8663754,249,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
fibrosis,-4.95466,-2.7759187,250,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
patterns,9.937051,-8.322811,250,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
myocardial,-1.0484298,2.2728045,250,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
safe,10.278443,-1.5390254,250,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
32,4.7292237,-10.281768,250,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
seven,10.331441,1.254908,251,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
retrograde,-5.1704054,-5.1816335,251,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
improving,-4.4652205,3.3429916,251,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
probability,4.3523717,-1.4487339,251,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
none,6.6863446,8.402161,251,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
issues,-8.045229,0.459485,252,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
troponin,10.009352,-0.11835483,252,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pso,3.0331,-2.8434045,252,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
removal,-2.192684,2.941447,252,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
threshold,1.3537859,-9.523526,252,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
relative,7.2116227,-8.47001,253,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
abs,-0.18416756,5.253434,253,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reveal,-2.8260381,3.7097735,253,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
brazil,3.833565,4.935395,253,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
unlike,6.879424,-0.36426222,253,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
kinetics,3.56297,6.0493374,254,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
short,-5.6597333,-7.379041,254,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
peptides,6.117362,6.814835,254,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
enhanced,-7.085304,3.5636973,254,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
easy,7.521683,4.787368,254,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
longer,2.7653306,2.9715252,255,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
recognition,-7.472357,2.935434,255,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
protect,-6.691929,-4.824549,255,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
february,4.5323567,-6.31436,255,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
overcome,7.9021044,2.2832704,255,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
digital,5.0370126,6.172818,256,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ddpcr,3.7818925,7.2842975,256,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
stroma,-4.8947315,-0.15311484,256,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
regulatory,-5.57692,2.4591749,256,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
51,11.137116,-5.9747396,256,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
importantly,4.777101,2.5516775,257,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
far,7.2552714,1.1307243,257,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
masking,5.084717,-9.853181,257,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
died,5.4663863,9.235782,257,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
called,9.423274,2.7000465,257,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
communities,4.0550923,3.63309,258,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
structural,3.1786919,7.3816442,258,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
department,7.434972,-4.600068,258,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
city,7.253671,0.79813784,258,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
102,-1.4101603,6.365655,258,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
achieve,-7.0698137,-2.977708,259,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
grade,2.8304052,-10.135255,259,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
yap1,-6.6474485,-2.2978175,259,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reporting,5.0718694,7.7589426,259,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
difficult,3.0580454,-10.082203,259,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
making,9.884318,0.48572868,260,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
suppression,-2.0597713,-0.530985,260,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
describes,-3.8898122,2.7659326,260,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
european,7.236102,5.9261584,260,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
speed,8.724132,-3.147558,260,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reason,3.970183,0.18206884,261,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
summary,8.060924,-7.9774504,261,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ard,12.22429,-3.2514262,261,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
hypertension,5.7987504,-8.2715225,261,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
shares,-2.2213838,-4.5774646,261,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
prognostic,-0.6791032,-1.3975366,262,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
recovery,10.720314,5.1262436,262,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
researchers,6.7543087,3.5595737,262,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
hla-dr,-0.36956602,-5.4122257,262,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
randomized,8.448949,-7.876787,262,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
multi-system,0.79479706,5.9341326,263,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
c-reactive,-9.547302,2.7829478,263,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
concordance,8.730554,-4.7172117,263,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
suffering,-8.064004,-2.0326843,263,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
consistently,-9.928439,-4.534582,263,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
dynamics,5.4717035,1.076326,264,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
53,-2.2719684,-4.4053907,264,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
nk,-8.660575,1.4281733,264,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
statistically,8.037051,4.9986095,264,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
possibly,9.530955,6.8821473,264,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
il-6,1.1688275,-0.34583303,265,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
lymphocyte,-4.084192,-2.6887167,265,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
count,-9.369723,4.541579,265,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
lod,-4.3735037,5.158537,265,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
problem,9.727176,-3.2779784,265,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
compatible,9.84953,0.4145667,266,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
sufficient,8.984474,5.278633,266,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
automated,10.6537285,-5.2223372,266,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
organization,7.5684166,9.192446,266,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
treating,-2.1327643,2.987845,266,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
wuhan,10.225862,1.7270945,267,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
another,13.574653,1.4780712,267,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
medications,8.262553,-6.1997137,267,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
absence,11.486412,-0.6187423,267,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
varying,3.678418,6.119819,267,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
typically,7.737794,7.9358706,268,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
explored,5.5096345,-2.6412456,268,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
sera,3.9949336,-7.555988,268,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
younger,6.287735,-3.1294134,268,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
schools,2.8037097,-9.470403,268,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
upregulation,-4.4838343,3.3972855,269,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
transition,-0.7749531,2.4406657,269,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
later,-4.455501,8.96283,269,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
costs,5.197232,4.0281687,269,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
introduction,8.305535,-0.77844465,269,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
signature,-2.9379008,-1.5903783,270,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
candidate,9.552984,3.8945153,270,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
leads,12.281798,-3.262363,270,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
substantial,3.8174946,4.6401668,270,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
baseline,-0.041848466,4.360272,270,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
susceptibility,-4.8976574,5.8483453,271,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
poor,6.4162183,-0.83140075,271,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
center,5.3245187,-8.428689,271,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
moderna,10.816049,-3.746957,271,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rrt-pcr,2.2232156,-7.5666823,271,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pih,0.6708541,-1.1765695,272,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
sampling,8.917978,-5.0343194,272,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
member,3.6606443,-7.740385,272,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
leading,13.99971,-1.4591758,272,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
controlled,8.395107,-7.855247,272,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reducing,1.48744,-2.2995183,273,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
scar,-5.773418,3.7193668,273,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
differentially,-0.41370723,5.5848017,273,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
distancing,2.3422365,-10.645681,273,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
subsequently,8.291154,2.4361086,273,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
machine,2.5300417,-5.702868,274,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
anti-inflammatory,-5.4023657,-3.6011078,274,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
line,-6.6367683,3.1009092,274,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
containing,7.154672,0.8554254,274,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
great,11.278288,-3.2546172,274,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
providing,12.205624,-1.7857386,275,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
hyponatraemia,-0.0074091256,-1.4075435,275,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
autoimmune,-0.3333922,8.885985,275,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
framework,3.877645,7.1209545,275,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
raised,12.119098,0.36056536,275,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
concomitant,-2.960362,-3.5124366,276,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
structures,6.995065,-7.7241373,276,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
emt,-6.598265,0.05874641,276,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
visual,-1.8879976,0.99223375,276,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
appendicitis,-5.295232,7.987038,276,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
spared,-3.5069377,1.1139237,277,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
real-world,5.153092,0.17594855,277,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
fluorescence,1.2212929,-10.4804325,277,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
specimen,2.125377,-4.289584,277,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pathological,-0.06270324,0.89274246,277,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
aor,5.8326087,-8.342006,278,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
influence,8.030703,-0.46305865,278,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
devices,11.416784,-5.9445763,278,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ranged,3.4733787,-10.9796,278,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
fewer,5.105281,-9.815919,278,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
environmental,8.575302,-0.41046038,279,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
particles,0.5985885,-1.3692973,279,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
mechanical,-8.146246,4.65372,279,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
implementing,3.8695748,-9.30277,279,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
materials,-3.0371048,7.8788977,279,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
classified,3.0994005,-8.090007,280,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
enfants,-2.2432988,-1.7626293,280,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
esf,-4.345365,4.1826506,280,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
coronavirus-2,7.4068394,-1.4343925,280,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
guide,4.1317368,1.1848469,280,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
transport,3.4198413,2.6393688,281,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
highlighting,-1.5786029,2.0863621,281,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
acids,7.754137,5.9674063,281,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
enable,4.435367,2.8160477,281,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pooled,3.696071,4.738501,281,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
triggered,9.841227,0.391504,282,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
woman,-1.9727764,5.0890903,282,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
portable,-11.753659,1.6646976,282,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
illnesses,-13.020227,1.2854064,282,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
