Words,X,Y,Z,Group,Value,Model
managing,-5.923141,-4.6498194,5.7182527,190,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
cd8,2.3540144,-2.1340423,-1.1969789,190,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
scale,4.7532845,-5.56821,3.9868386,190,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
serology,-3.1258214,-3.8963406,-0.7679304,190,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
wide,2.0289242,-7.5301957,4.3198533,190,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
multiorgan,-7.1685047,-3.8968081,3.8461726,191,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
uterus,2.2722542,8.174625,-5.192767,191,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rarely,-0.70436746,6.405218,3.3078294,191,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
contribute,0.0144020505,-2.120949,4.2625537,191,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
database,1.3032402,3.2643404,5.9496865,191,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
clinically,5.4761767,4.9878826,-0.06270371,192,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
non-invasive,2.7370913,-2.0538032,2.399006,192,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
organs,3.4834187,7.004086,-1.1876745,192,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
explore,-2.655443,-0.9666257,8.201273,192,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
monocytes,-1.057609,0.5491238,-4.574064,192,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
activated,6.928146,1.9715831,-2.6989622,193,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
lymphopenia,0.29237446,5.992713,-7.241,193,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
suggested,0.13111083,3.9362996,-4.5129447,193,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
timely,-2.6917038,-1.8769946,6.2679276,193,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
transcription-polymerase,0.105105266,-6.9602475,-0.11559181,193,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
benefit,-0.81538445,-5.9509916,3.4381106,194,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
site,-0.049404673,-7.051456,-2.601653,194,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
persistent,-5.383478,2.519737,-1.0716608,194,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
needs,2.876992,-2.4883337,4.771062,194,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
third,-4.4718337,0.51061076,1.8681687,194,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
preventing,-4.634568,-7.7989717,1.037806,195,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
efforts,0.7553223,-4.45548,5.381199,195,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
40,0.031981733,-0.06922142,6.8617077,195,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
university,4.7679806,-1.3288438,5.801631,195,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
chest,-5.5412087,-5.0378675,1.4314108,195,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
implementation,3.4211872,-3.1680934,5.6175523,196,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
address,2.3523262,-2.4650528,4.303743,196,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
economic,-1.3996018,2.455442,-5.6473536,196,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
discussed,1.0282143,-2.5053337,5.087284,196,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
neonates,-3.0479805,-0.08672857,1.4986567,196,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
post-covid,1.2739546,-1.180307,-4.0390615,197,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
89,2.5372028,-6.1349745,2.9508164,197,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
80,-0.12597126,-7.109763,-2.6344428,197,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
manifestation,-2.332177,-8.350699,2.5388348,197,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
migration,-1.583348,1.2783402,2.408794,197,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
coverage,-5.0881786,-3.3055668,2.1629725,198,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
past,0.34969,-0.87313575,8.565595,198,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
classification,-3.4662209,-1.3387009,-2.829266,198,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
delivery,0.41041365,-4.8673577,1.9852124,198,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
average,-4.9146423,-3.3196769,-0.72011083,198,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
paper,6.191497,-2.607685,-1.2550551,199,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
left,5.6857114,0.019766679,-0.29176188,199,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
confidence,4.246085,-2.2012465,1.721777,199,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
functional,3.3917305,4.860674,-3.1508718,199,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
optimal,2.5019455,0.90724885,4.0355597,199,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
false,-2.4028487,0.023557462,4.5696683,200,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
chadox1,-0.7842006,-5.887554,3.489215,200,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
means,-0.2565442,-1.5532684,3.455929,200,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
tma,-0.5729537,0.19738927,-1.2533256,200,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
45,-1.0528449,-7.4510155,1.6870195,200,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
allowed,5.948736,-5.800538,2.4035633,201,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
child,1.5073571,6.9638796,1.9085909,201,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
mg,4.1246405,-7.7809772,2.1865668,201,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
monitor,-5.1934714,1.1134228,5.8609686,201,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
profile,-1.9835533,-3.7445571,6.5021195,201,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
transplantation,-1.7007643,2.1672606,-2.0672925,202,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
generally,-2.7961411,2.4295187,4.618507,202,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
titers,1.0367833,4.0944943,4.977645,202,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
objective,-2.6316528,-4.0900507,7.139137,202,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
roles,-0.42685723,-3.0194054,7.425047,202,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
throughout,3.1929116,-3.4741616,5.572328,203,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
stages,-0.40516332,-2.5453677,7.526134,203,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
facilitate,0.38330126,-2.673422,4.2336774,203,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ivig,1.0504538,0.38831207,3.4288456,203,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
already,-1.494926,-7.2058277,2.6394978,203,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
selection,3.1918483,-4.270947,5.3817234,204,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
entity,-2.7567666,0.11826504,-1.1774678,204,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
integrated,5.5448227,2.7688026,-5.79938,204,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
thrombocytopenia,-3.770202,-5.5181246,5.498148,204,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
establish,-3.384248,0.86614496,6.4113564,204,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
mostly,-0.011667117,-7.433987,6.829081,205,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
48,-2.546037,-5.3228316,-0.3507718,205,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
improved,-2.121472,-2.3073583,2.9293334,205,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
31,-4.1680655,-4.525399,0.10346659,205,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
26,-1.4243797,-5.7265944,-0.31306347,205,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
macrophages,3.6451168,2.549909,0.20066303,206,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
resources,2.3079665,3.2174444,6.2742805,206,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
dysmenorrhea,-1.7118763,2.372652,-1.2082844,206,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
recovered,-2.2270718,-3.1293983,8.618271,206,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
eight,-3.6618564,-6.5373325,-1.424126,206,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
daily,0.39223555,5.830188,2.2573357,207,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
broad,5.2370625,3.373656,-2.5437024,207,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
351,-0.065408036,-6.1270347,2.0324988,207,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
compare,1.1113101,-4.091021,1.3496192,207,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
allow,3.3351665,-0.57297534,4.7811275,207,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
implants,2.2258976,2.8757308,-8.8047,208,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
international,-0.73749024,-2.7468436,6.8665147,208,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
certain,1.1416049,5.520427,-4.428278,208,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
europe,0.02128335,-7.3317637,6.891406,208,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
implantation,1.0780658,1.7748404,4.2108264,208,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
96,3.9289765,-3.800931,-2.1403215,209,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
extensive,4.218183,-1.7055075,5.610831,209,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
primer,1.6155136,1.3433318,4.9759445,209,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
anti-sars-cov-2,-5.9218073,-0.5991086,1.4829259,209,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
immunological,-2.4956746,5.82068,-2.010707,209,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
70,2.6393528,3.2451146,6.240055,210,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
though,0.07091797,6.835079,-2.1682553,210,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
occurs,3.265083,0.830491,-1.8128196,210,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
strong,-4.341287,-5.2735076,-2.4736218,210,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
responsible,1.2998595,-1.8948109,8.368355,210,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
tracing,6.094558,-2.8354847,2.9387035,211,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
achieved,6.184639,-2.597228,-1.2319906,211,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
occurring,-6.317727,0.71251965,1.825022,211,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
domain,-1.6632674,-3.1851118,3.5110617,211,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
humans,-5.76778,-1.7772915,3.0212407,211,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
targeted,3.6411304,-3.2120132,0.05191832,212,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
bleeding,3.0515664,-1.0036123,-4.2163363,212,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
independent,3.8083827,1.5474222,1.2361012,212,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
predominantly,-1.9843783,-1.6465325,-1.9947644,212,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
28,-1.1641183,-6.1450214,-1.4249266,212,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
form,-2.014036,-4.5857587,1.1642228,213,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
92,5.0412803,-5.0232944,1.2030828,213,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
contrast,2.2866464,-5.456174,-3.5410264,213,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
epidemiology,4.3129973,2.755416,3.7826746,213,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
real,5.8049345,-4.5013747,4.0413117,213,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
administered,-7.2621837,-2.5834208,0.56042415,214,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
workers,-5.001858,-6.2876573,2.1955078,214,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
37,5.3828025,-3.9948733,3.0173779,214,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
central,-3.1450062,-4.1623125,-1.8485167,214,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
75,-1.7391757,-3.4143612,2.187745,214,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
medicine,0.20345539,-6.729925,4.5082264,215,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
sars-cov2,6.457731,-0.7877237,1.304331,215,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
profiles,2.105649,-3.584941,1.3119775,215,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
program,-3.4319344,-2.8535163,4.6056437,215,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
macrophage,0.96725374,2.8030357,-3.866776,215,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
subset,-0.8979893,-0.9892453,4.1337085,216,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
analyze,-1.9919183,-3.7519035,6.4894133,216,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
additionally,-5.905526,-0.55962026,1.4771535,216,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
large-scale,-2.7367895,-1.0308588,6.5184255,216,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
experienced,-0.3525297,-6.3186784,1.1479084,216,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
35,0.03558962,-7.4645433,6.7583933,217,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
successful,3.8600264,-1.8387387,5.583509,217,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
underwent,5.2227087,3.1442335,0.7830899,217,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
search,-2.4572642,-7.4795675,2.8637993,217,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
burden,3.1305537,-6.3402815,5.294573,217,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
aspects,1.4245689,-2.8954883,3.1157587,218,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
hypotension,0.6351533,3.4979846,-4.2903476,218,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
hyperinflammation,-5.9197674,-4.624188,5.731535,218,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
taken,1.8769051,-0.41924122,4.7027125,218,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
appears,-3.4415848,2.028377,-2.6266701,218,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
enhance,-2.7983038,-0.92651093,8.254162,219,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
nps,6.4015164,-1.2213197,0.6199166,219,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
utility,-3.111277,-3.8350556,-0.8745187,219,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
therapeutics,-2.082173,-7.049115,5.1699576,219,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
media,5.957631,-5.7700596,2.4941528,219,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
applied,3.120286,-4.837813,5.131902,220,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
thrombotic,0.9053734,-3.1447096,-3.9790447,220,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
prognosis,3.869299,1.2731221,-7.6814065,220,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
towards,0.058890346,6.534704,2.7337832,220,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
locations,-7.1647816,-2.5588198,0.6090642,220,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
comparable,-2.811697,-3.4185634,0.9578257,221,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
thrombosis,-3.7055254,3.7029452,0.13674253,221,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
purpose,3.3397915,-0.44611114,8.142982,221,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
identifying,-0.57177484,2.9304981,-3.012577,221,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
effusion,-3.2736356,0.24020095,-4.337452,221,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
bilateral,-0.72374976,6.3724093,3.2776532,222,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
culture,-0.31307378,-4.517652,1.5412513,222,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
suitable,-1.7793005,-3.69432,0.45338628,222,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
suspicion,-2.2070146,-2.4589653,-7.3309574,222,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
68,-5.311855,-4.836589,1.7178397,222,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
sets,4.622375,-3.6576686,0.0712506,223,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
right,0.6069243,0.19794042,2.499291,223,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
paediatric,1.5888464,-0.52064806,2.8277938,223,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
overlap,1.0360214,3.626717,6.0285754,223,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ihc,3.489972,6.6143804,-3.8077855,223,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
90,-0.11900547,-7.095156,-2.6196976,224,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
platforms,-3.7576346,-0.7745895,3.9372828,224,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
inhibition,2.1227198,-4.11345,-2.8980806,224,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
questions,-2.3454807,-5.9845233,6.2508383,224,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
iii,-4.5556145,-7.7667108,1.0634574,224,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
36,-0.9568962,-3.1372018,2.3777125,225,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
validation,4.491334,-1.1377292,1.129463,225,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
macaques,0.041025743,6.2618766,-6.7023525,225,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pathogens,-3.4293354,-4.455372,1.9642138,225,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
animal,-0.023331892,5.943514,-3.1426454,225,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
highlights,-6.1025987,2.0574517,3.6318448,226,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
much,-4.1016674,-2.9020395,5.742652,226,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
seropositivity,4.12726,-7.8575716,1.966508,226,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
equipment,2.6668718,-2.2702613,4.0293455,226,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
particular,5.2524037,1.2826232,-1.8094244,226,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
receiving,5.895493,-3.974792,0.043025136,227,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
estimate,1.332721,-6.0748644,-2.1263185,227,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
detailed,0.24216548,-0.055735737,4.316249,227,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
effectively,-3.6683059,-0.45673072,8.271053,227,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
generated,-1.9187294,6.049498,2.0738742,227,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
suggests,-5.12631,-2.7423787,0.9887482,228,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
phenotype,-0.2688047,2.2167346,-1.9332145,228,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ii,1.664329,-2.4019468,8.673862,228,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
residents,0.06279038,-2.177873,-7.4281344,228,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
systematic,-0.3746532,-1.5433176,6.138993,228,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
considering,5.1453586,-5.14865,0.9837083,229,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
observational,-1.9846755,-3.7467232,6.4945607,229,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
prompt,-2.4196768,-0.2802548,3.4150496,229,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
delay,-0.8426176,4.1421027,-2.4115722,229,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
personnel,1.9095349,-1.2251645,6.708177,229,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pulmonary,0.041393567,-0.094323084,6.8499026,230,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
change,0.074755676,-4.33208,4.886279,230,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
esr2,-3.843508,3.0524127,0.9559051,230,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
excision,-3.300944,1.2832501,-0.9809067,230,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
hypothesis,-2.6397917,-1.2375761,6.30289,230,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
urgently,-2.6673403,-1.2700155,6.3036795,231,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
represents,-0.73470443,-8.856831,1.1709703,231,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
infiltrating,1.2753329,4.581148,-1.4396825,231,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
oral,-0.22692612,-1.5634966,3.447925,231,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
hospitals,-3.231684,-2.9358811,4.345157,231,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
diagnose,-0.43543294,0.30316204,5.3274546,232,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
technique,-3.867522,2.3206666,3.7112708,232,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
nature,-3.056577,-4.1261725,-1.624249,232,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
times,0.17980783,-6.300961,0.9239141,232,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
elagolix,-1.6577761,-0.2961459,-0.55673695,232,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
light,4.852034,-3.9320033,5.404787,233,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
continue,1.5101389,-4.111721,2.918787,233,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
characterize,-0.06833325,-6.2149706,1.9123185,233,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
authorization,-1.6063408,-6.9945703,5.014181,233,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
loads,-3.6574934,-1.1251898,2.7201421,233,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
er,4.667577,-1.4669517,-3.0943093,234,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
69,-1.272757,-5.221394,-0.31497067,234,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
57,-2.0543807,-5.8659263,1.3276299,234,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
food,-2.160175,-4.5049853,3.8463056,234,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reserve,0.3229156,1.9847834,-5.9129114,234,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
estrogen-dependent,3.2932088,2.942567,-6.8020535,235,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
mutation,-1.6757195,-3.1612947,3.527078,235,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
primarily,-4.7241316,-1.0534526,1.1304151,235,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
boy,-1.9203466,0.4004002,0.5026849,235,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
negatively,-0.7594223,-2.22863,0.0710776,235,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
heterogeneity,-0.8959864,-7.441421,1.7789649,236,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
